Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
3744121296,1984,3392,8,1,1,512,1,1,16,0.000,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"compute_panel_multipliers_v6_kernel(float *, int, int, const int *)"
3744496337,8287,3394,234,2,1,16,16,1,16,0.000,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"update_panel_v6_kernel(float *, int, int, int, const int *)"
3744826481,7904,3396,1,1,1,256,1,1,16,0.002,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"find_pivot_check_swap_rhs_and_rows_col_major_v6c_kernel(float *, float *, int, int, float, int *)"
3745107121,1952,3398,8,1,1,512,1,1,16,0.000,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"compute_panel_multipliers_v6_kernel(float *, int, int, const int *)"
3745411473,8096,3400,234,2,1,16,16,1,16,0.000,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"update_panel_v6_kernel(float *, int, int, int, const int *)"
3745723282,7744,3402,1,1,1,256,1,1,16,0.002,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"find_pivot_check_swap_rhs_and_rows_col_major_v6c_kernel(float *, float *, int, int, float, int *)"
3746044114,1984,3404,8,1,1,512,1,1,16,0.000,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"compute_panel_multipliers_v6_kernel(float *, int, int, const int *)"
3746338706,7777,3406,234,2,1,16,16,1,16,0.000,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"update_panel_v6_kernel(float *, int, int, int, const int *)"
3746636819,7872,3408,1,1,1,256,1,1,16,0.002,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"find_pivot_check_swap_rhs_and_rows_col_major_v6c_kernel(float *, float *, int, int, float, int *)"
3746919763,1984,3410,8,1,1,512,1,1,16,0.000,0.000,None,,None,None,NVIDIA GeForce GTX 1650 (0),1,7,"compute_panel_multipliers_v6_kernel(float *, int, int, const int *)"
