"repeat","n","launch_position","requested_variant","csv_variant","sample_ms","sample_count","process_wall_ms","gpu_ms","energy_j","avg_power_w","max_power_w","joules_per_effective_gflop","max_temperature_c","avg_graphics_clock_mhz"
"3","2000","10","V6e","V6e_b64","200","3","929.9364","104.162","11.4679","12.331918","12.8","2.150231202","64","1020"
"3","2000","11","V5c","V5c_b64","200","3","959.1902","128.086","13.599131","14.177721","15.8","2.549837051","63","1125"
"3","2000","12","V1","V1","200","10","2913.4419","2270.81","74.604554","25.607016","31.34","13.988353945","66","1597.5"
"3","2000","13","V2","V2","200","11","3287.486","2402.88","86.973337","26.455881","31.45","16.307500719","67","1800"
"3","2000","14","V3","V3","200","4","1188.7744","491.434","28.812446","24.237101","33.74","5.402333552","67","1800"
"3","4000","0","V3f","V3f","200","12","3417.1269","2180.22","96.265769","28.171552","35.14","2.256228962","68","1683.75"
"3","4000","1","V4","V4","200","5","1417.1447","60.6556","25.733602","18.158768","18.62","0.603131289","67","1800"
"3","4000","2","V5a","V5a_t32x32","200","14","4089.245","2738","113.017899","27.63784","35.31","2.648857018","68","1558.929"
"3","4000","3","V5af","V5af_t32x32","200","13","3649.9505","2423.19","103.227053","28.281768","35.22","2.419384057","69","1718.077"
"3","4000","4","V5bf","V5bf_t32x32","200","16","4336.3054","3296.59","130.308158","30.050503","35.43","3.054097462","69","1774.688"
"3","4000","5","VLU","VLU","200","13","3589.1918","2378.47","98.123323","27.338557","35.2","2.299765387","69","1670.769"
"3","4000","6","V6a","V6a_b64","200","6","1635.9388","317.333","33.202248","20.295532","27.51","0.778177682","68","1800"
"3","4000","7","V6b","V6b_b64","200","5","1451.646","223.863","30.88464","21.2756","26.92","0.72385875","67","1800"
"3","4000","8","V6c","V6c_b64","200","5","1428.1393","191.88","31.17073","21.826113","29.69","0.730563983","68","1800"
"3","4000","9","V6d","V6d_b32","200","5","1403.6624","222.265","22.590367","16.093875","21.87","0.529461725","68","1218"
"3","4000","10","V6e","V6e_b64","200","6","1654.8957","317.104","24.849842","15.015956","19.32","0.582418166","66","1230"
"3","4000","11","V5c","V5c_b64","200","6","1658.1717","298.898","34.280742","20.673819","32.88","0.803454889","68","1780"
"3","4000","12","V1","V1","200","58","15500.7848","14370.1","506.827939","32.696921","35.22","11.878779816","72","1798.966"
"3","4000","13","V2","V2","200","57","15708.1718","14521.8","513.654186","32.699807","35.29","12.038769995","73","1793.684"
"3","4000","14","V3","V3","200","13","3780.8957","2471.47","106.472993","28.160786","35.13","2.495460784","73","1720.385"
"3","8000","0","V3f","V3f","200","70","19075.4605","15780.9","587.257824","30.786037","35.04","1.720481906","73","1493.786"
"3","8000","1","V4","V4","200","16","4618.4649","325.669","60.546998","13.109767","24.95","0.177383782","70","1017.188"
"3","8000","2","V5a","V5a_t32x32","200","81","23661.863","18963.5","716.635924","30.286538","35.57","2.099519309","74","1558.889"
"3","8000","3","V5af","V5af_t32x32","200","76","22871.8407","18220","678.657544","29.672187","35.01","1.988254524","73","1481.053"
